"reading_id","node_name","temperature","humidity","light_intensity","timeposted"
"90","Node2","26.6","80","1360","2024-12-09 21:34:05"
"91","Node2","26.6","80.1","1360","2024-12-09 21:34:10"
"92","Node2","26.6","80","1358","2024-12-09 21:34:16"
"93","Node2","26.5","80","1359","2024-12-09 21:34:21"
"94","Node2","26.5","80.1","1405","2024-12-09 21:34:26"
"95","Node2","26.5","80","1405","2024-12-09 21:34:31"
"96","Node2","26.6","80","1360","2024-12-09 21:34:35"
"97","Node2","26.6","80","1357","2024-12-09 21:34:40"
"98","Node2","26.6","80","1360","2024-12-09 21:34:46"
"99","Node2","26.6","80","1360","2024-12-09 21:34:50"
"100","Node2","26.6","80","1354","2024-12-09 21:34:56"
"101","Node2","26.6","80","1354","2024-12-09 21:35:01"
"102","Node2","26.5","80.1","1385","2024-12-09 21:35:06"
"103","Node2","26.5","80.1","1360","2024-12-09 21:35:11"
"104","Node2","26.5","80.1","1300","2024-12-09 21:35:16"
"105","Node2","26.5","80.1","1343","2024-12-09 21:35:21"
"106","Node2","26.5","80.1","1344","2024-12-09 21:35:28"
"107","Node2","26.5","80.1","1344","2024-12-09 21:35:31"
"108","Node2","26.5","80.2","1291","2024-12-09 21:35:36"
"109","Node2","26.5","80.1","1331","2024-12-09 21:35:41"
"110","Node2","26.5","80.2","1326","2024-12-09 21:35:46"
"111","Node2","26.5","80.2","1340","2024-12-09 21:35:51"
"112","Node2","26.5","80.2","1330","2024-12-09 21:35:56"
"113","Node2","26.5","80.2","1330","2024-12-09 21:36:01"
"114","Node2","26.5","80.2","1347","2024-12-09 21:36:06"
"115","Node2","26.5","80.2","1361","2024-12-09 21:36:10"
"116","Node2","26.5","80.2","1360","2024-12-09 21:36:15"
"117","Node2","25.8","82.2","1166","2024-12-09 22:06:19"
"118","Node2","25.8","82.2","1312","2024-12-09 22:06:24"
"119","Node2","25.8","82.2","1379","2024-12-09 22:06:55"
"120","Node2","25.8","82.2","1380","2024-12-09 22:07:00"
"121","Node2","25.8","82.2","1383","2024-12-09 22:07:05"
"122","Node2","25.8","82.2","1389","2024-12-09 22:07:10"
"123","Node2","25.9","82.1","1417","2024-12-09 22:07:15"
"124","Node2","25.9","82.1","1417","2024-12-09 22:07:20"
"125","Node2","25.8","82.2","1393","2024-12-09 22:07:25"
"126","Node2","25.8","82.2","1296","2024-12-09 22:07:30"
"127","Node2","25.8","82.1","1382","2024-12-09 22:07:35"
"128","Node2","25.8","82.2","1391","2024-12-09 22:07:40"
"129","Node2","25.8","82.1","1384","2024-12-09 22:07:45"
"130","Node2","25.8","82.2","1384","2024-12-09 22:07:50"
"131","Node2","25.8","82.1","1383","2024-12-09 22:07:55"
"132","Node2","25.8","82.1","1317","2024-12-09 22:08:00"
"133","Node2","25.9","82.1","1331","2024-12-09 22:08:05"
"134","Node2","25.9","82.1","1389","2024-12-09 22:08:10"
"135","Node2","25.9","82.1","1385","2024-12-09 22:08:15"
"136","Node2","25.9","82","1385","2024-12-09 22:08:20"
"137","Node2","25.9","82","1376","2024-12-09 22:08:25"
"138","Node2","25.9","81.9","1360","2024-12-09 22:08:30"
"139","Node2","25.9","81.9","1361","2024-12-09 22:08:35"
"140","Node2","25.9","81.9","1381","2024-12-09 22:08:40"
"141","Node2","25.9","82","1385","2024-12-09 22:08:45"
"142","Node2","25.9","82","1385","2024-12-09 22:08:50"
"143","Node2","25.9","82","1390","2024-12-09 22:08:55"
"144","Node2","25.9","81.9","1360","2024-12-09 22:09:00"
"145","Node2","25.9","82","1391","2024-12-09 22:09:05"
"146","Node2","25.9","81.9","1397","2024-12-09 22:09:10"
"147","Node2","25.9","81.9","1383","2024-12-09 22:09:15"
"148","Node2","25.9","81.9","1383","2024-12-09 22:09:20"
"149","Node2","25.9","82","1380","2024-12-09 22:09:25"
"150","Node2","25.9","82","1385","2024-12-09 22:09:30"
"151","Node2","25.9","82","1382","2024-12-09 22:09:35"
"152","Node2","25.9","82","1379","2024-12-09 22:09:40"
"153","Node2","25.9","82","1381","2024-12-09 22:09:45"
"154","Node2","25.9","82","1381","2024-12-09 22:09:50"
"155","Node2","25.8","82.1","1391","2024-12-09 22:09:55"
"156","Node2","25.8","82.1","1385","2024-12-09 22:10:00"
"157","Node2","25.9","82.1","1383","2024-12-09 22:10:05"
"158","Node2","25.8","82.1","1381","2024-12-09 22:10:10"
"159","Node2","25.9","82.1","1360","2024-12-09 22:10:15"
